11:38:35.688 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6a2c62ca, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1c247e5b, org.springframework.security.web.context.SecurityContextHolderFilter@414fd9f2, org.springframework.security.web.header.HeaderWriterFilter@6a5c67cf, org.springframework.web.filter.CorsFilter@2a87d40f, org.springframework.security.web.authentication.logout.LogoutFilter@6e6d4a64, tn.monetique.cardmanagment.security.jwt.AuthTokenFilter@60f6d689, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2a64c8c3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@20c642ef, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@586fe6ee, org.springframework.security.web.session.SessionManagementFilter@f0c6326, org.springframework.security.web.access.ExceptionTranslationFilter@76fece79, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6f4327ab]
11:38:35.932 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
11:38:35.946 [main] INFO  o.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
11:38:35.946 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
11:38:35.947 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
11:38:35.948 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

11:38:35.948 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
11:38:35.948 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
11:38:35.948 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@3fc0f3c2
11:38:36.013 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
11:38:36.035 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
11:38:36.036 [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
11:38:36.037 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
11:38:36.044 [main] INFO  t.m.c.CardManagmentApplication - Started CardManagmentApplication in 7.704 seconds (process running for 8.739)
11:39:36.473 [http-nio-8084-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:39:36.474 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:39:36.475 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
11:40:26.370 [http-nio-8084-exec-4] WARN  c.i.layout.renderer.TableWidths - Table width is more than expected due to min width of cell(s).
11:56:30.300 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
11:56:30.327 [SpringApplicationShutdownHook] INFO  o.s.s.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
11:56:30.327 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
11:56:30.327 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
11:56:30.327 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
11:56:30.332 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
